date,var,amount
2019-07-01,"Agropecuario, silvicultura, caza y pesca",7634.8606
2019-08-01,"Agropecuario, silvicultura, caza y pesca",8035.9269000000004
2019-09-01,"Agropecuario, silvicultura, caza y pesca",7550.308
2019-10-01,"Agropecuario, silvicultura, caza y pesca",7263.1601000000001
2019-11-01,"Agropecuario, silvicultura, caza y pesca",7201.9317000000001
2019-12-01,"Agropecuario, silvicultura, caza y pesca",7136.6917000000003
2020-01-01,"Agropecuario, silvicultura, caza y pesca",6686.2196999999996
2020-02-01,"Agropecuario, silvicultura, caza y pesca",6977.2951999999996
2020-03-01,"Agropecuario, silvicultura, caza y pesca",7168.3940000000002
2020-04-01,"Agropecuario, silvicultura, caza y pesca",7106.9084000000003
2020-05-01,"Agropecuario, silvicultura, caza y pesca",7753.6097
2020-06-01,"Agropecuario, silvicultura, caza y pesca",7118.0267000000003
2020-07-01,"Agropecuario, silvicultura, caza y pesca",7594.2431999999999
2020-08-01,"Agropecuario, silvicultura, caza y pesca",8125.8424999999997
2020-09-01,"Agropecuario, silvicultura, caza y pesca",7671.8064999999997
2020-10-01,"Agropecuario, silvicultura, caza y pesca",7851.6792999999998
2020-11-01,"Agropecuario, silvicultura, caza y pesca",7041.7174999999997
2004-01-01,Minas y canteras,4557.8
2004-02-01,Minas y canteras,4218.35
2004-03-01,Minas y canteras,4217.8
2004-04-01,Minas y canteras,4372.3
2004-05-01,Minas y canteras,4737
2004-06-01,Minas y canteras,4326.6
2004-07-01,Minas y canteras,5091.7
2004-08-01,Minas y canteras,4438.3
2004-09-01,Minas y canteras,4625.6
2004-10-01,Minas y canteras,4904.8
2004-11-01,Minas y canteras,4721.2
2004-12-01,Minas y canteras,4605.4
2005-01-01,Minas y canteras,4970.3
2005-02-01,Minas y canteras,4549.8
2005-03-01,Minas y canteras,4533.2
2005-04-01,Minas y canteras,5089.08
2005-05-01,Minas y canteras,7061.6
2005-06-01,Minas y canteras,7015.4
2005-07-01,Minas y canteras,6602.3
2005-08-01,Minas y canteras,7041.5
2005-09-01,Minas y canteras,7422.6
2005-10-01,Minas y canteras,7822.6
2005-11-01,Minas y canteras,6958.4
2005-12-01,Minas y canteras,7809.7
2006-01-01,Minas y canteras,7186.2
2006-02-01,Minas y canteras,6586.8
2006-03-01,Minas y canteras,6708.8
2006-04-01,Minas y canteras,7502.9
2006-05-01,Minas y canteras,7486.1
2006-06-01,Minas y canteras,7091.5
2006-07-01,Minas y canteras,8045.7
2006-08-01,Minas y canteras,7718.06
2006-09-01,Minas y canteras,8817.75
2006-10-01,Minas y canteras,8506.07
2006-11-01,Minas y canteras,7058.52
2006-12-01,Minas y canteras,7456.6
2007-01-01,Minas y canteras,7149.02
2007-02-01,Minas y canteras,7420
2007-03-01,Minas y canteras,7927.11
2007-04-01,Minas y canteras,5591.06
2007-05-01,Minas y canteras,5640.67
2007-06-01,Minas y canteras,6268.13
2007-07-01,Minas y canteras,6248.15
2007-08-01,Minas y canteras,5657.07
2007-09-01,Minas y canteras,6745.82
2007-10-01,Minas y canteras,5908.99
2007-11-01,Minas y canteras,5939.36
2007-12-01,Minas y canteras,6653.64
2008-01-01,Minas y canteras,6101.96
2008-02-01,Minas y canteras,6510.01
2008-03-01,Minas y canteras,7670.45
2008-04-01,Minas y canteras,6208.8
2008-05-01,Minas y canteras,7295.5
2008-06-01,Minas y canteras,7985.19
2008-07-01,Minas y canteras,7143.96
2008-08-01,Minas y canteras,8600.73
2008-09-01,Minas y canteras,7736.55
2008-10-01,Minas y canteras,8153.52
2008-11-01,Minas y canteras,8605.76
2008-12-01,Minas y canteras,7972.91
2009-01-01,Minas y canteras,6440.46
2009-02-01,Minas y canteras,7300.97
2009-03-01,Minas y canteras,7462.25
2009-04-01,Minas y canteras,8183.98
2009-05-01,Minas y canteras,8223.5297
2009-06-01,Minas y canteras,8247.13
2009-07-01,Minas y canteras,8627.53
2009-08-01,Minas y canteras,10009.12
2009-09-01,Minas y canteras,9439.55
2009-10-01,Minas y canteras,7439.31
2009-11-01,Minas y canteras,8810.61
2009-12-01,Minas y canteras,8861.36
2010-01-01,Minas y canteras,10084.259
2010-02-01,Minas y canteras,9817.566
2010-03-01,Minas y canteras,9765.102
2010-04-01,Minas y canteras,9984.474
2010-05-01,Minas y canteras,10489.336
2010-06-01,Minas y canteras,9775.807
2010-07-01,Minas y canteras,10829.697
2010-08-01,Minas y canteras,10080.68
2010-09-01,Minas y canteras,10437.4
2010-10-01,Minas y canteras,11594.57
2010-11-01,Minas y canteras,10919.5
2010-12-01,Minas y canteras,10833.76
2011-01-01,Minas y canteras,13036.01
2011-02-01,Minas y canteras,11614.052
2011-03-01,Minas y canteras,10850.503
2011-04-01,Minas y canteras,12437.5347
2011-05-01,Minas y canteras,12362.697
2011-06-01,Minas y canteras,11477.353
2011-07-01,Minas y canteras,12229.968
2011-08-01,Minas y canteras,12149.511
2011-09-01,Minas y canteras,11387.403
2011-10-01,Minas y canteras,11174.356
2011-11-01,Minas y canteras,12401.02
2011-12-01,Minas y canteras,13110.778
2012-01-01,Minas y canteras,13329.1384
2012-02-01,Minas y canteras,12378.112
2012-03-01,Minas y canteras,12786.63
2012-04-01,Minas y canteras,12486.218
2012-05-01,Minas y canteras,12851.88
2012-06-01,Minas y canteras,13566.529
2012-07-01,Minas y canteras,13065.693
2012-08-01,Minas y canteras,13806.9291
2012-09-01,Minas y canteras,14611.929
2012-10-01,Minas y canteras,14152.684
2012-11-01,Minas y canteras,14641.096
2012-12-01,Minas y canteras,16870.454
2013-01-01,Minas y canteras,15704.0435
2013-02-01,Minas y canteras,14451.608
2013-03-01,Minas y canteras,14741.2
2013-04-01,Minas y canteras,15881.292
2013-05-01,Minas y canteras,14811.804
2013-06-01,Minas y canteras,15509.258
2013-07-01,Minas y canteras,15676.224
2013-08-01,Minas y canteras,15427.872
2013-09-01,Minas y canteras,15310.857
2013-10-01,Minas y canteras,16848.388
2013-11-01,Minas y canteras,19017.41
2013-12-01,Minas y canteras,17370.24
2014-01-01,Minas y canteras,16682.206
2014-02-01,Minas y canteras,16524.182
2014-03-01,Minas y canteras,15610.401
2014-04-01,Minas y canteras,15829.32
2014-05-01,Minas y canteras,17482.244
2014-06-01,Minas y canteras,16040.774
2014-07-01,Minas y canteras,15817.46
2014-08-01,Minas y canteras,16106.19
2014-09-01,Minas y canteras,15981.578
2014-10-01,Minas y canteras,15253.397
2014-11-01,Minas y canteras,17275.537
2014-12-01,Minas y canteras,16684.536
2015-01-01,Minas y canteras,15920.082
2015-02-01,Minas y canteras,16524.642
2015-03-01,Minas y canteras,15047.676
2015-04-01,Minas y canteras,15347.569
2015-05-01,Minas y canteras,18811.596
2015-06-01,Minas y canteras,16249.953
2015-07-01,Minas y canteras,16689.626
2015-08-01,Minas y canteras,16364.515
2015-09-01,Minas y canteras,16572.102
2015-10-01,Minas y canteras,17904.443
2015-11-01,Minas y canteras,15793.75
2015-12-01,Minas y canteras,18896.149
2016-01-01,Minas y canteras,16296.583
2016-02-01,Minas y canteras,18151.137
2016-03-01,Minas y canteras,18477.424
2016-04-01,Minas y canteras,22527.112
2016-05-01,Minas y canteras,19890.707
2016-06-01,Minas y canteras,18737.769
2016-07-01,Minas y canteras,20398.119
2016-08-01,Minas y canteras,19854.293
2016-09-01,Minas y canteras,22090.87
2016-10-01,Minas y canteras,23780.056
2016-11-01,Minas y canteras,21044.603
2016-12-01,Minas y canteras,23306.356
2017-01-01,Minas y canteras,20762.121
2017-02-01,Minas y canteras,18931.06
2017-03-01,Minas y canteras,19028.635
2017-04-01,Minas y canteras,24518.474
2017-05-01,Minas y canteras,20564.512
2017-06-01,Minas y canteras,18862.171
2017-07-01,Minas y canteras,19109.095
2017-08-01,Minas y canteras,19973.039
2017-09-01,Minas y canteras,19921.5994
2017-10-01,Minas y canteras,22586.6174
2017-11-01,Minas y canteras,20389.2466
2017-12-01,Minas y canteras,21387.5408
2018-01-01,Minas y canteras,21948.934
2018-02-01,Minas y canteras,22084.7373
2018-03-01,Minas y canteras,23940.7123
2018-04-01,Minas y canteras,23934.1281
2018-05-01,Minas y canteras,23503.2198
2018-06-01,Minas y canteras,23018.2098
2018-07-01,Minas y canteras,21434.976
2018-08-01,Minas y canteras,23155.2759
2018-09-01,Minas y canteras,25995.7461
2018-10-01,Minas y canteras,24377.0258
2018-11-01,Minas y canteras,24493.7429
2018-12-01,Minas y canteras,24078.002
2019-01-01,Minas y canteras,23127.441
2019-02-01,Minas y canteras,23663.9516
2019-03-01,Minas y canteras,28009.1931
2019-04-01,Minas y canteras,26801.4781
2019-05-01,Minas y canteras,26339.155
2019-06-01,Minas y canteras,25779.6406
2019-07-01,Minas y canteras,26889.9986
2019-08-01,Minas y canteras,27259.9599
2019-09-01,Minas y canteras,31724.048
2019-10-01,Minas y canteras,28253.4385
2019-11-01,Minas y canteras,26299.9826
2019-12-01,Minas y canteras,29871.837
2020-01-01,Minas y canteras,28734.022
2020-02-01,Minas y canteras,27396.8988
2020-03-01,Minas y canteras,29713.879
2020-04-01,Minas y canteras,28265.4735
2020-05-01,Minas y canteras,24698.6181
2020-06-01,Minas y canteras,25267.2334
2020-07-01,Minas y canteras,28038.7114
2020-08-01,Minas y canteras,32117.6457
2020-09-01,Minas y canteras,28951.7956
2020-10-01,Minas y canteras,27835.7435
2020-11-01,Minas y canteras,28137.9908
2004-01-01,Industria manufacturera,2572
2004-02-01,Industria manufacturera,2410.01
2004-03-01,Industria manufacturera,2383
2004-04-01,Industria manufacturera,2341.3
2004-05-01,Industria manufacturera,2511.6
2004-06-01,Industria manufacturera,2401.4
2004-07-01,Industria manufacturera,2649.3
2004-08-01,Industria manufacturera,2407.8
2004-09-01,Industria manufacturera,2362.7
2004-10-01,Industria manufacturera,2415.1
2004-11-01,Industria manufacturera,2319
2004-12-01,Industria manufacturera,2480.9
2005-01-01,Industria manufacturera,2592.5
2005-02-01,Industria manufacturera,2468.6
2005-03-01,Industria manufacturera,2357
2005-04-01,Industria manufacturera,2485.63
2005-05-01,Industria manufacturera,2576.4
2005-06-01,Industria manufacturera,2550.6
2005-07-01,Industria manufacturera,3083.5
2005-08-01,Industria manufacturera,2742.2
2005-09-01,Industria manufacturera,2543.6
2005-10-01,Industria manufacturera,2715.4
2005-11-01,Industria manufacturera,2651.1
2005-12-01,Industria manufacturera,3107.6
2006-01-01,Industria manufacturera,2808.6
2006-02-01,Industria manufacturera,2661.4
2006-03-01,Industria manufacturera,2684.6
2006-04-01,Industria manufacturera,2958.2
2006-05-01,Industria manufacturera,2795.1
2006-06-01,Industria manufacturera,2810.4
2006-07-01,Industria manufacturera,3178.3
2006-08-01,Industria manufacturera,2889.5
2006-09-01,Industria manufacturera,2903.45
2006-10-01,Industria manufacturera,2762.68
2006-11-01,Industria manufacturera,2807.87
2006-12-01,Industria manufacturera,3240.83
2007-01-01,Industria manufacturera,3264.03
2007-02-01,Industria manufacturera,2994.796
2007-03-01,Industria manufacturera,3130.98
2007-04-01,Industria manufacturera,2965.47
2007-05-01,Industria manufacturera,2996.65
2007-06-01,Industria manufacturera,3312.02
2007-07-01,Industria manufacturera,3475.54
2007-08-01,Industria manufacturera,3251.58
2007-09-01,Industria manufacturera,3406.48
2007-10-01,Industria manufacturera,3214.92
2007-11-01,Industria manufacturera,3210.98
2007-12-01,Industria manufacturera,3777.74
2008-01-01,Industria manufacturera,3533.22
2008-02-01,Industria manufacturera,3472.39
2008-03-01,Industria manufacturera,3873.66
2008-04-01,Industria manufacturera,3692.92
2008-05-01,Industria manufacturera,3799.11
2008-06-01,Industria manufacturera,3689.74
2008-07-01,Industria manufacturera,4089.12
2008-08-01,Industria manufacturera,4361.14
2008-09-01,Industria manufacturera,4034.81
2008-10-01,Industria manufacturera,4204.99
2008-11-01,Industria manufacturera,4698.6
2008-12-01,Industria manufacturera,4619.54
2009-01-01,Industria manufacturera,3885.08
2009-02-01,Industria manufacturera,4581.42
2009-03-01,Industria manufacturera,4437.28
2009-04-01,Industria manufacturera,4521.44
2009-05-01,Industria manufacturera,5102.0346
2009-06-01,Industria manufacturera,4603.19
2009-07-01,Industria manufacturera,4643.45
2009-08-01,Industria manufacturera,4756.92
2009-09-01,Industria manufacturera,4436.71
2009-10-01,Industria manufacturera,4739.79
2009-11-01,Industria manufacturera,4379.8
2009-12-01,Industria manufacturera,4769.05
2010-01-01,Industria manufacturera,5052.089
